x0,x1,label
-3.1308150249054685,-2.7643549232908855,0
-4.704165762981873,-2.061176970058492,0
3.253219714987947,-2.016515689425437,1
-1.0497239812084205,-3.70542474440218,0
-2.605463187914271,-4.6326250918287135,0
3.076816139566158,-3.0434330206150855,1
2.655323015996667,-2.2702859202291568,1
-4.232928268778693,-2.554785096985963,0
-2.9934642428516165,-2.8500109745079123,0
1.9005567840943924,-3.822444533543152,1
2.5844958380151977,-3.046510464718353,1
-2.5227590316466677,-3.150631533176127,0
-4.18398222547115,-1.3993096663780002,0
2.5283762514480372,-3.023971697359233,1
-3.4018322870781086,-2.737495579456355,0
-4.403689291657608,-2.1382775121056548,0
2.2808234807567294,-1.9133823697803969,1
1.9262741693742098,-3.2593773185636907,1
1.8984539922267363,-3.8668366132791183,1
-4.490429108567614,-1.9952586165435684,0
2.336712752167992,-3.2038046123009267,1
4.102958415392861,-4.560926447974909,1
4.542572244111568,-2.5840671389861436,1
-1.033848597538655,-4.146156454876721,0
2.851093479123613,-2.5362550616569153,1
2.9263271359481586,-2.2931739517303473,1
2.4605880574293297,-2.802088158508979,1
3.5664718674466775,-1.618486641755073,1
-1.8598764012621347,-2.7584246160207075,0
1.9734358722497667,-2.5110038533171712,1
2.2916166274677474,-3.009261064943632,1
-5.754587590626613,-2.074462646263658,0
-2.7856297676890547,-4.284661457532479,0
-3.9724689031324165,-3.3018302350301982,0
-2.340813211022238,-2.9894988122123545,0
-1.0211499704589817,-3.7953865348717866,0
-2.4759340743613847,-3.0306843054066235,0
-1.7071498053716514,-3.932464812627426,0
3.3888742122422935,-1.9590710582769137,1
-4.8747868001982235,-2.7884480288526086,0
3.3218693319102455,-2.575997763176016,1
1.7518192193262805,-2.777742661977157,1
1.153117205671295,-0.7434752087208962,1
-3.127568042500599,-2.3960382507646223,0
-3.8264608122935133,-3.1333958985867594,0
1.9374662390718784,-2.9759094379097704,1
-0.9459600704743494,-3.6976562916745745,0
3.3543129274937558,-2.3618915889331302,1
4.693316116232588,-3.2457220518857253,1
-1.233713216222668,-3.4396344467960533,0
-3.360229700405429,-2.6267931138070395,0
-1.7919934453725963,-4.168281941934445,0
-4.240690154342456,-2.0695908010637094,0
-2.5715229323765083,-2.8587970244879175,0
3.345333725891128,-3.144313638559688,1
3.4357890730061085,-2.892696465153577,1
3.4425907124835673,-2.6953894282859494,1
1.9380772747980808,-1.4189482301078835,1
3.6566311695482794,-2.890968282814011,1
3.74009769749408,-3.7915286046122887,1
-1.3456329359784918,-3.093355183774848,0
3.4907023426875523,-1.2233900183193325,1
-2.484295155659189,-4.077748767493909,0
2.3578873643405793,-3.029570879101322,1
2.695160240167445,-2.10738519093149,1
2.760645462959045,-2.573878115574038,1
3.420347493576816,-2.1755573276332587,1
0.8746349184683235,-2.4426620767419824,1
2.987316805909038,-4.625032477276207,1
-3.8672547086604023,-2.844414473711484,0
-1.3595383244212922,-4.434046210988482,0
2.160515249492172,-1.9860793877024716,1
-2.298315212982878,-2.2079532391258803,0
-1.6550112638761965,-3.239995461316592,0
2.927637488305093,-3.2450426507938848,1
2.705411980128486,-2.5639097898479655,1
-3.2273200694197706,-3.044816804011208,0
-3.267737002191371,-2.7254635984993003,0
-2.815775005376197,-3.177316344981294,0
1.8211037157689436,-3.460609374999726,1
3.7150556346757124,-5.304847123370147,1
